match_id;input_row;output_row;input_exp;output_exp;distance;correlation
1;0;39;C592;C470;22.599.582;0.453562
2;2;113;C592;C525;11.258.304;0.673008
3;3;33;C592;C470;7.708.951;0.419286
4;7;110;C592;C525;0.000000;0.696483
5;8;114;C592;C525;19.196.192;0.587893
6;15;136;C592;C531;17.184.062;0.382656
7;16;18;C592;C450;17.709.645;0.301642
8;20;43;C592;C476;15.609.333;0.322390
9;35;159;C592;C537;16.342.217;0.426633
10;45;97;C598;C519;22.114.574;0.511400
11;50;17;C598;C450;14.294.144;0.339138
12;51;111;C598;C525;8.498.910;0.588918
13;59;0;C598;C444;0.000000;0.530443
14;65;148;C598;C531;15.476.136;0.556860
15;66;19;C598;C450;7.802.480;0.324774
16;68;109;C598;C519;10.031.072;0.301425
