match_id,input_row,output_row,input_exp,output_exp,input_local_roi,output_local_roi,distance,input_x,input_y,output_x,output_y,correlation
1,7,110,C592,C525,7,0,0.0,263.6017003188098,124.99553666312434,327.4603681442524,262.2351615326822,0.6964826870109336
2,2,113,C592,C525,2,3,11.258303849032563,64.89736561595858,92.7539211207553,127.34315906562847,218.8242491657397,0.6730078936376663
3,51,111,C598,C525,15,1,8.498909851902651,225.64412326152168,200.07499318243796,240.30646574382337,222.83143507972665,0.588917549779269
4,8,114,C592,C525,8,4,19.19619196624993,108.10118460019743,221.12158604804213,182.0,342.0,0.5878934746923073
5,65,148,C598,C531,29,18,15.476135592988877,477.0880855397149,281.98031228784794,487.06315789473683,309.2438596491228,0.5568595566612476
6,59,0,C598,C444,23,0,0.0,304.3420454545454,238.62556818181818,379.0,269.33431661750245,0.5304427376798889
7,45,97,C598,C519,9,3,22.1145736174158,472.95922397769516,103.87906598513011,318.0,54.7341650671785,0.5114003388160379
8,0,39,C592,C470,0,9,22.599581539833014,125.41301893891885,105.55775743133074,269.8180952380952,254.0,0.45356207180003566
9,35,159,C592,C537,35,9,16.342216938174982,277.63005339435546,254.83142639206713,328.613599742185,299.9448920399613,0.4266329248123672
10,3,33,C592,C470,3,3,7.708950702525724,180.1671503192107,189.8044109112014,308.73156532988355,330.0,0.4192862400055608
11,15,136,C592,C531,15,6,17.184062367453816,131.76774969915763,28.915764139590856,194.88038793103448,179.0,0.3826560770175718
12,50,17,C598,C450,14,6,14.294143683401218,182.36133486766397,259.9907940161105,242.3218523878437,272.8651230101302,0.3391384062633182
13,66,19,C598,C450,30,8,7.802479800945726,346.70851688693097,149.3702276064611,423.20079883805374,161.74618736383442,0.32477400670734813
14,20,43,C592,C476,20,3,15.60933275926757,432.9273397787302,89.55945380245191,494.619926199262,253.8649446494465,0.32239038839159617
15,16,18,C592,C450,16,7,17.70964478021446,167.66758747697975,155.81860036832413,297.47038508029704,281.7511656017959,0.30164230601807934
16,68,109,C598,C519,32,15,10.031071530235057,357.0247848537005,74.29948364888124,234.0,28.81809523809524,0.30142496211108843
